filename,Red_Mean,Red_Median,Red_Std,Red_Skewness,Red_Kurtosis,Green_Mean,Green_Median,Green_Std,Green_Skewness,Green_Kurtosis,Blue_Mean,Blue_Median,Blue_Std,Blue_Skewness,Blue_Kurtosis,Hue_Mean,Hue_Median,Hue_Std,Hue_Skewness,Hue_Kurtosis,Sat_Mean,Sat_Median,Sat_Std,Sat_Skewness,Sat_Kurtosis,Value_Mean,Value_Median,Value_Std,Value_Skewness,Value_Kurtosis,Entropy,Contrast,Correlation,Energy,Homogeneity,Brightness_Mean,Brightness_Std,EdgeAmountSobel
string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
00000010.jpg,60.959284,37.000000,54.654906,1.723864,4.875120,64.197174,40.000000,54.665127,1.722633,4.863392,57.250273,33.000000,54.573361,1.732716,4.880107,0.244864,0.238095,0.022541,2.569437,9.372192,0.183283,0.175000,0.157201,3.724516,19.808932,0.251754,0.156863,0.214373,1.722633,4.863392,6.624335,0.541600,0.878021,0.380463,0.867164,62.181029,54.647863,0.064036
00000011.jpg,62.478503,39.000000,54.982751,1.682659,4.738355,65.716979,42.000000,54.989756,1.681863,4.727795,58.770833,35.000000,54.895876,1.692083,4.743819,0.244897,0.238095,0.022600,2.565101,9.337152,0.179084,0.166667,0.158036,3.793216,20.072175,0.257714,0.164706,0.215646,1.681863,4.727795,6.673535,0.538761,0.881146,0.365726,0.865927,63.700430,54.973154,0.063997
00000012.jpg,64.505208,40.000000,55.650886,1.647446,4.593019,67.684648,43.000000,55.704173,1.642888,4.578651,60.783581,36.000000,55.571520,1.655607,4.596666,0.244338,0.238095,0.020784,2.592511,10.207607,0.172257,0.162791,0.156720,4.000617,21.579476,0.265430,0.168627,0.218448,1.642888,4.578651,6.689644,0.587502,0.874949,0.356267,0.863135,65.700326,55.662879,0.067135
00000013.jpg,65.657031,41.000000,56.085317,1.617918,4.498370,68.835065,44.000000,56.138178,1.613003,4.483579,61.934362,37.000000,56.004096,1.625784,4.501067,0.244328,0.238095,0.020804,2.599884,10.242776,0.169802,0.155556,0.156954,4.020774,21.628055,0.269941,0.172549,0.220150,1.613003,4.483579,6.748564,0.555840,0.883762,0.342884,0.863924,66.850443,56.097273,0.065326
00000014.jpg,65.750898,41.000000,56.129367,1.620762,4.507858,68.930365,45.000000,56.185749,1.616026,4.493335,62.028424,38.000000,56.052433,1.628662,4.510652,0.244318,0.238095,0.020748,2.595224,10.234094,0.169223,0.155556,0.156005,4.048752,21.977192,0.270315,0.176471,0.220336,1.616026,4.493335,6.749083,0.571187,0.881211,0.344279,0.862512,66.945964,56.143951,0.066562
00000015.jpg,65.137018,41.000000,55.755691,1.647554,4.604430,68.317070,44.000000,55.811452,1.642844,4.589679,61.413646,37.000000,55.680374,1.655464,4.607486,0.244286,0.238095,0.020654,2.591428,10.237540,0.169969,0.159091,0.155554,4.063455,22.134669,0.267910,0.172549,0.218868,1.642844,4.589679,6.726885,0.577853,0.878108,0.351356,0.862723,66.332578,55.769990,0.066159
00000016.jpg,65.349583,41.000000,55.920302,1.637582,4.567241,68.555846,44.000000,55.969542,1.632758,4.552182,61.649245,37.000000,55.838610,1.645383,4.569870,0.244846,0.238095,0.021258,2.456109,9.281913,0.169884,0.159091,0.156131,4.041995,21.894255,0.268846,0.172549,0.219488,1.632758,4.552182,6.736743,0.577216,0.878498,0.347064,0.862040,66.567826,55.928586,0.067122
00000017.jpg,65.837539,42.000000,56.023012,1.615786,4.506530,69.031471,45.000000,56.080134,1.608643,4.483797,62.120768,38.000000,55.942853,1.622685,4.504023,0.244666,0.238095,0.021644,2.708802,10.210407,0.170648,0.155556,0.160909,3.973766,20.825058,0.270712,0.176471,0.219922,1.608643,4.483797,6.745111,0.561423,0.882811,0.341098,0.863518,67.034831,56.040778,0.066250
00000018.jpg,65.560977,41.000000,56.067288,1.633380,4.562620,68.760573,45.000000,56.126735,1.626328,4.538841,61.841901,38.000000,55.997136,1.639523,4.558671,0.244519,0.238095,0.021452,2.801411,11.029285,0.170831,0.156863,0.158620,3.977530,21.115325,0.269649,0.176471,0.220105,1.626328,4.538841,6.750333,0.579840,0.878691,0.342130,0.861798,66.762786,56.086711,0.067500
00000019.jpg,65.176836,42.000000,55.521550,1.654803,4.651647,68.377161,45.000000,55.579776,1.647500,4.626525,61.449479,38.000000,55.459949,1.660034,4.646089,0.244306,0.238095,0.020997,2.826833,11.307767,0.171228,0.155556,0.160168,3.980891,20.889109,0.268146,0.176471,0.217960,1.647500,4.626525,6.741112,0.568951,0.878973,0.348816,0.863431,66.377474,55.541738,0.066745
00000020.jpg,65.414518,41.000000,55.882865,1.652418,4.621129,68.615495,45.000000,55.939877,1.645550,4.597333,61.684336,38.000000,55.824258,1.657468,4.615832,0.244231,0.238095,0.020831,2.837342,11.421459,0.169986,0.156863,0.156581,4.037561,21.736790,0.269080,0.176471,0.219372,1.645550,4.597333,6.734247,0.581040,0.877720,0.350700,0.862259,66.614974,55.902797,0.066797
